datetime,low,high,open,close,volumefrom,volumeto
2022-02-18 05:00:00,1.022,1.034,1.023,1.032,2706058.9,2782721.65
2022-02-18 06:00:00,1.03,1.037,1.032,1.037,2550260.9,2636254.66
2022-02-18 07:00:00,1.031,1.039,1.037,1.034,2032311.1,2103298.19
2022-02-18 08:00:00,1.034,1.043,1.034,1.04,3004297.2,3121017.63
2022-02-18 09:00:00,1.036,1.041,1.04,1.037,2225096.8,2309634.11
2022-02-18 10:00:00,1.031,1.038,1.037,1.033,2388956.5,2468892.16
2022-02-18 11:00:00,1.017,1.034,1.033,1.019,6506248.0,6661192.27
2022-02-18 12:00:00,1.016,1.028,1.019,1.026,4648492.7,4752848.33
2022-02-18 13:00:00,1.015,1.028,1.026,1.024,3937705.6,4021631.26
2022-02-18 14:00:00,0.992,1.028,1.024,1.019,18490624.8,18618386.26
2022-02-18 15:00:00,0.996,1.027,1.019,1.005,12755565.3,12879231.27
2022-02-18 16:00:00,0.992,1.017,1.005,1.0,12717988.1,12782769.42
2022-02-18 17:00:00,0.999,1.012,1.0,1.004,7246269.4,7286356.13
2022-02-18 18:00:00,0.996,1.01,1.004,1.006,5256987.1,5267531.79
2022-02-18 19:00:00,1.001,1.012,1.006,1.008,3625922.5,3649168.44
2022-02-18 20:00:00,0.998,1.013,1.008,1.002,6252144.2,6275104.03
2022-02-18 21:00:00,0.996,1.009,1.002,0.998,5213798.3,5226682.88
2022-02-18 22:00:00,0.983,1.002,0.998,0.992,7976834.0,7908528.26
2022-02-18 23:00:00,0.991,0.999,0.992,0.995,3720771.6,3705119.17
2022-02-19 00:00:00,0.992,1.007,0.995,1.004,4767967.8,4768571.54
2022-02-19 01:00:00,0.998,1.006,1.004,1.0,2673177.9,2680287.9
2022-02-19 02:00:00,0.997,1.006,1.0,1.005,2286018.5,2289572.24
2022-02-19 03:00:00,1.002,1.01,1.005,1.002,1348849.6,1356257.72
2022-02-19 04:00:00,1.001,1.01,1.002,1.007,3059623.3,3074990.36
2022-02-19 05:00:00,1.005,1.009,1.007,1.007,2121087.2,2137123.99
2022-02-19 06:00:00,1.006,1.019,1.007,1.014,4105673.0,4158068.44
2022-02-19 07:00:00,1.01,1.016,1.014,1.012,3530735.9,3577594.83
2022-02-19 08:00:00,1.0,1.014,1.012,1.001,4603063.8,4632091.68
2022-02-19 09:00:00,0.997,1.004,1.001,0.999,3075513.3,3077407.72
2022-02-19 10:00:00,0.992,1.002,0.999,1.0,2760008.1,2751630.11
2022-02-19 11:00:00,0.978,1.002,1.0,0.984,8068880.3,7960619.95
2022-02-19 12:00:00,0.973,0.988,0.984,0.981,5440079.3,5340444.26
2022-02-19 13:00:00,0.974,0.996,0.981,0.992,8003444.3,7886811.65
2022-02-19 14:00:00,0.981,0.992,0.992,0.989,4801237.8,4734724.57
2022-02-19 15:00:00,0.985,1.001,0.989,0.997,4022695.4,3994542.84
2022-02-19 16:00:00,0.989,1.011,0.997,0.992,9184682.4,9185673.38
2022-02-19 17:00:00,0.989,1.0,0.992,0.999,4147945.4,4122771.68
2022-02-19 18:00:00,0.989,0.999,0.999,0.991,3077593.9,3059077.88
2022-02-19 19:00:00,0.982,0.991,0.991,0.985,3347665.2,3301653.45
2022-02-19 20:00:00,0.983,0.991,0.985,0.99,1863002.1,1838998.03
2022-02-19 21:00:00,0.983,0.991,0.99,0.988,2110121.1,2083121.14
2022-02-19 22:00:00,0.986,0.996,0.988,0.994,1632256.4,1615719.55
2022-02-19 23:00:00,0.992,0.999,0.994,0.996,2071618.7,2063517.01
2022-02-20 00:00:00,0.988,0.998,0.996,0.993,2953801.2,2934268.17
2022-02-20 01:00:00,0.987,0.996,0.993,0.992,3696965.8,3666611.57
2022-02-20 02:00:00,0.978,0.994,0.992,0.98,3675330.9,3623497.51
2022-02-20 03:00:00,0.967,0.982,0.98,0.972,6709050.3,6536686.36
2022-02-20 04:00:00,0.956,0.974,0.972,0.959,7163993.0,6903485.52
2022-02-20 05:00:00,0.948,0.965,0.959,0.949,9443271.0,9026399.64
2022-02-20 06:00:00,0.932,0.953,0.949,0.939,15528041.1,14608090.05
2022-02-20 07:00:00,0.935,0.949,0.939,0.949,8564351.9,8070856.21
2022-02-20 08:00:00,0.927,0.949,0.949,0.93,12642913.4,11833725.95
2022-02-20 09:00:00,0.925,0.942,0.93,0.937,7772278.8,7267487.82
2022-02-20 10:00:00,0.932,0.946,0.937,0.934,4442235.9,4171402.6
2022-02-20 11:00:00,0.933,0.944,0.934,0.942,3153263.4,2957920.86
2022-02-20 12:00:00,0.929,0.951,0.942,0.931,8902236.8,8348269.56
