datetime,low,high,open,close,volumefrom,volumeto
2022-02-18 05:00:00,15.73,15.88,15.73,15.85,53189.22,840954.91
2022-02-18 06:00:00,15.83,15.95,15.85,15.92,67092.07,1066383.37
2022-02-18 07:00:00,15.84,16.03,15.92,15.87,176308.2,2810962.38
2022-02-18 08:00:00,15.86,16.06,15.87,16.01,137755.9,2197576.62
2022-02-18 09:00:00,15.92,16.04,16.01,15.96,60903.38,972705.31
2022-02-18 10:00:00,15.83,15.97,15.96,15.88,67017.48,1064168.04
2022-02-18 11:00:00,15.61,15.89,15.88,15.63,176477.21,2772788.93
2022-02-18 12:00:00,15.59,15.77,15.63,15.75,102053.17,1600760.17
2022-02-18 13:00:00,15.59,15.77,15.75,15.71,86371.4,1354826.21
2022-02-18 14:00:00,15.11,15.76,15.71,15.56,491452.35,7549370.87
2022-02-18 15:00:00,15.08,15.67,15.56,15.21,379352.17,5814577.57
2022-02-18 16:00:00,15.03,15.5,15.21,15.27,622961.32,9548835.72
2022-02-18 17:00:00,15.23,15.4,15.27,15.29,205798.42,3155186.11
2022-02-18 18:00:00,15.1,15.38,15.29,15.35,151606.24,2307194.11
2022-02-18 19:00:00,15.28,15.42,15.35,15.34,56590.37,868095.98
2022-02-18 20:00:00,15.17,15.39,15.34,15.21,111991.27,1708076.4
2022-02-18 21:00:00,15.18,15.35,15.21,15.19,83033.08,1267192.62
2022-02-18 22:00:00,15.11,15.25,15.19,15.14,83463.12,1265466.59
2022-02-18 23:00:00,15.1,15.26,15.14,15.19,90578.13,1378356.51
2022-02-19 00:00:00,15.13,15.33,15.19,15.29,100916.61,1539728.08
2022-02-19 01:00:00,15.27,15.4,15.29,15.31,100440.37,1539155.91
2022-02-19 02:00:00,15.28,15.37,15.31,15.37,41072.22,629500.61
2022-02-19 03:00:00,15.32,15.49,15.37,15.36,62146.83,957479.61
2022-02-19 04:00:00,15.31,15.48,15.36,15.44,60036.35,924594.84
2022-02-19 05:00:00,15.39,15.5,15.44,15.45,60756.9,938250.15
2022-02-19 06:00:00,15.41,15.56,15.45,15.54,67100.9,1039749.59
2022-02-19 07:00:00,15.45,15.54,15.54,15.49,84991.56,1317380.74
2022-02-19 08:00:00,15.29,15.51,15.49,15.31,120986.31,1863129.56
2022-02-19 09:00:00,15.24,15.36,15.31,15.26,94690.18,1448288.8
2022-02-19 10:00:00,15.12,15.3,15.26,15.23,113925.56,1731899.5
2022-02-19 11:00:00,14.89,15.27,15.23,15.01,232149.39,3487407.14
2022-02-19 12:00:00,14.87,15.03,15.01,14.94,120009.6,1794929.06
2022-02-19 13:00:00,14.84,15.4,14.94,15.3,402080.57,6102688.64
2022-02-19 14:00:00,15.14,15.3,15.3,15.21,95205.83,1448475.96
2022-02-19 15:00:00,15.17,15.39,15.21,15.36,84916.58,1298556.49
2022-02-19 16:00:00,15.25,15.68,15.36,15.31,471208.09,7263690.68
2022-02-19 17:00:00,15.23,15.4,15.31,15.39,203886.78,3119303.51
2022-02-19 18:00:00,15.25,15.39,15.39,15.27,68332.26,1046450.53
2022-02-19 19:00:00,15.25,15.39,15.27,15.31,296274.37,4536088.78
2022-02-19 20:00:00,15.3,15.45,15.31,15.43,102560.56,1576572.42
2022-02-19 21:00:00,15.29,15.44,15.43,15.38,100983.06,1551997.4
2022-02-19 22:00:00,15.32,15.46,15.38,15.41,44406.15,683464.14
2022-02-19 23:00:00,15.36,15.57,15.41,15.51,90716.26,1404513.0
2022-02-20 00:00:00,15.24,15.53,15.51,15.28,139266.84,2138093.46
2022-02-20 01:00:00,15.15,15.32,15.28,15.3,101288.14,1542694.63
2022-02-20 02:00:00,15.04,15.31,15.3,15.06,106029.52,1609422.8
2022-02-20 03:00:00,14.97,15.14,15.06,14.99,110612.97,1664510.06
2022-02-20 04:00:00,14.68,15.01,14.99,14.77,256045.83,3792403.0
2022-02-20 05:00:00,14.62,14.84,14.77,14.66,184473.64,2719044.97
2022-02-20 06:00:00,14.41,14.7,14.66,14.61,354210.68,5160310.19
2022-02-20 07:00:00,14.56,14.75,14.61,14.74,186004.56,2724881.62
2022-02-20 08:00:00,14.44,14.75,14.74,14.5,240927.82,3508447.99
2022-02-20 09:00:00,14.44,14.67,14.5,14.58,185941.84,2709101.7
2022-02-20 10:00:00,14.58,14.75,14.58,14.62,169417.04,2485684.72
2022-02-20 11:00:00,14.59,14.79,14.62,14.77,106748.43,1565371.54
2022-02-20 12:00:00,14.68,14.97,14.77,14.7,167333.49,2475449.27
2022-02-20 13:00:00,14.66,14.83,14.7,14.66,113264.21,1667893.03
2022-02-20 14:00:00,14.39,14.7,14.66,14.56,234938.84,3414632.43
2022-02-20 15:00:00,14.54,14.73,14.56,14.68,109597.45,1601926.34
2022-02-20 16:00:00,14.57,14.81,14.68,14.65,146964.25,2156880.63
2022-02-20 17:00:00,14.63,14.78,14.65,14.69,109015.47,1603055.25
2022-02-20 18:00:00,14.66,14.87,14.69,14.84,93283.34,1377107.51
2022-02-20 19:00:00,14.76,14.92,14.84,14.82,153046.37,2272744.31
2022-02-20 20:00:00,14.67,14.82,14.82,14.7,72326.65,1064165.73
2022-02-20 21:00:00,14.47,14.74,14.7,14.59,145624.97,2119623.26
2022-02-20 22:00:00,14.58,14.85,14.59,14.84,139625.63,2050591.77
2022-02-20 23:00:00,14.56,14.92,14.84,14.6,211695.56,3131100.28
2022-02-21 00:00:00,14.51,14.92,14.6,14.91,180249.59,2647465.22
2022-02-21 01:00:00,14.83,15.26,14.91,15.17,344940.29,5204695.3
2022-02-21 02:00:00,15.08,15.19,15.17,15.12,85892.45,1299165.18
2022-02-21 03:00:00,14.94,15.14,15.12,15.02,115738.61,1740258.16
2022-02-21 04:00:00,15.01,15.31,15.02,15.26,146039.21,2220209.33
2022-02-21 05:00:00,15.12,15.27,15.26,15.15,85386.03,1297806.29
2022-02-21 06:00:00,15.08,15.17,15.15,15.15,107765.1,1629636.34
