datetime,low,high,open,close,volumefrom,volumeto
2022-02-18 05:00:00,93.87,94.72,93.87,94.5,31359.89,2959576.69
2022-02-18 06:00:00,94.39,95.29,94.5,95.09,38351.74,3638072.73
2022-02-18 07:00:00,94.84,95.5,95.09,95.18,43101.1,4101335.44
2022-02-18 08:00:00,95.15,96.37,95.18,96.2,74154.19,7106408.01
2022-02-18 09:00:00,95.57,96.32,96.2,95.7,48279.1,4628689.81
2022-02-18 10:00:00,95.06,95.89,95.7,95.77,45041.96,4299201.22
2022-02-18 11:00:00,93.62,95.84,95.77,93.9,104435.04,9861947.81
2022-02-18 12:00:00,93.62,94.82,93.9,94.26,61083.72,5754776.09
2022-02-18 13:00:00,93.22,94.5,94.26,94.06,70379.23,6608120.15
2022-02-18 14:00:00,91.08,94.39,94.06,93.04,242357.74,22407382.18
2022-02-18 15:00:00,90.13,93.57,93.04,90.96,225975.14,20667270.95
2022-02-18 16:00:00,89.82,92.03,90.96,90.28,199272.64,18118734.9
2022-02-18 17:00:00,90.27,91.25,90.28,90.36,99214.92,9002887.13
2022-02-18 18:00:00,89.31,90.75,90.36,90.63,99836.61,8988472.12
2022-02-18 19:00:00,90.24,91.17,90.63,91.03,67902.85,6160866.63
2022-02-18 20:00:00,90.41,91.26,91.03,90.67,64952.97,5900551.2
2022-02-18 21:00:00,90.2,91.41,90.67,90.21,55321.8,5019396.34
2022-02-18 22:00:00,89.36,90.62,90.21,89.85,55267.18,4968378.94
2022-02-18 23:00:00,89.8,90.58,89.85,89.86,57491.13,5183702.71
2022-02-19 00:00:00,89.78,91.11,89.86,91.02,44799.84,4055435.69
2022-02-19 01:00:00,90.82,91.65,91.02,91.04,38225.85,3484981.06
2022-02-19 02:00:00,90.88,91.94,91.04,91.88,23871.01,2183324.3
2022-02-19 03:00:00,91.05,92.21,91.88,91.21,37874.95,3468422.22
2022-02-19 04:00:00,91.03,92.1,91.21,92.06,35046.21,3213976.14
2022-02-19 05:00:00,91.69,92.49,92.06,92.21,34234.36,3152563.66
2022-02-19 06:00:00,91.81,92.75,92.21,92.22,50260.72,4634573.62
2022-02-19 07:00:00,91.8,92.33,92.22,92.13,37578.03,3462198.55
2022-02-19 08:00:00,90.74,92.35,92.13,90.79,58470.9,5345849.24
2022-02-19 09:00:00,90.43,91.27,90.79,90.77,56568.5,5139600.77
2022-02-19 10:00:00,89.9,91.1,90.77,90.7,58893.11,5325349.79
2022-02-19 11:00:00,88.6,90.93,90.7,89.48,135275.13,12122913.21
2022-02-19 12:00:00,88.68,89.93,89.48,89.49,86378.65,7721775.05
2022-02-19 13:00:00,88.69,90.9,89.49,90.48,102612.19,9211989.61
2022-02-19 14:00:00,89.61,90.55,90.48,89.95,54794.83,4936252.37
2022-02-19 15:00:00,89.73,91.12,89.95,90.99,74046.13,6709721.02
2022-02-19 16:00:00,90.38,92.18,90.99,90.74,89292.54,8165620.39
2022-02-19 17:00:00,90.22,91.24,90.74,91.14,44308.83,4019802.62
2022-02-19 18:00:00,90.0,91.15,91.14,90.31,50604.83,4580079.98
2022-02-19 19:00:00,89.68,90.37,90.31,89.9,48982.64,4406731.06
2022-02-19 20:00:00,89.68,90.54,89.9,90.17,30434.18,2746463.19
2022-02-19 21:00:00,89.51,90.3,90.17,90.04,31962.77,2874342.32
2022-02-19 22:00:00,89.94,90.86,90.04,90.66,22755.81,2056559.27
2022-02-19 23:00:00,90.13,91.75,90.66,91.27,38306.13,3486832.44
2022-02-20 00:00:00,89.57,91.41,91.27,90.03,56558.67,5112697.02
2022-02-20 01:00:00,89.55,90.67,90.03,90.51,27349.61,2465566.92
2022-02-20 02:00:00,89.13,90.62,90.51,89.22,47363.73,4249754.86
2022-02-20 03:00:00,87.78,89.46,89.22,88.41,101817.66,9013248.39
2022-02-20 04:00:00,87.12,88.68,88.41,87.45,91661.09,8045595.65
2022-02-20 05:00:00,86.34,88.22,87.45,86.65,102841.81,8973350.93
2022-02-20 06:00:00,85.56,87.07,86.65,86.28,139144.52,11996607.33
2022-02-20 07:00:00,85.94,87.51,86.28,87.39,86832.5,7532557.94
2022-02-20 08:00:00,85.73,88.22,87.39,87.73,123103.0,10666663.35
2022-02-20 09:00:00,87.56,90.16,87.73,88.78,208903.86,18599703.95
